alpha,batch_size,cuda_id,data_dir,data_name,emb_size,lr,model,multi_relation,no_cuda,num_epochs,optimizer,rho,save_dir,seed,test_ratio,thres,train_ratio,valid_epochs,weight_decay,Configuration,F1-Macro,F1-1,F1-0,AUC,G-Mean
2,64,2,./data/,AlibabaLoan,32,0.001,SAGE,GNN,True,51,adam,0.4,./pytorch_models/,42,0.27,0.4,0.8,10,0.0005,24,0.16,0.32,0.0,0.6552741466957153,0.0
2,64,2,./data/,AlibabaLoan,64,0.001,SAGE,GNN,True,51,adam,0.4,./pytorch_models/,42,0.27,0.4,0.8,10,0.0005,25,0.16694967303732072,0.3146067415730337,0.01929260450160772,0.6526416122004358,0.09762986435483435
2,64,2,./data/,AlibabaLoan,32,0.002,SAGE,GNN,True,51,adam,0.4,./pytorch_models/,42,0.27,0.4,0.8,10,0.0005,26,0.16,0.32,0.0,0.6506899055918663,0.0
2,64,2,./data/,AlibabaLoan,64,0.002,SAGE,GNN,True,51,adam,0.4,./pytorch_models/,42,0.27,0.4,0.8,10,0.0005,27,0.15812917594654788,0.31625835189309576,0.0,0.649192084241104,0.0
2,64,2,./data/,AlibabaLoan,32,0.003,SAGE,GNN,True,51,adam,0.4,./pytorch_models/,42,0.27,0.4,0.8,10,0.0005,28,0.16,0.32,0.0,0.6483750907770516,0.0
2,64,2,./data/,AlibabaLoan,64,0.003,SAGE,GNN,True,51,adam,0.4,./pytorch_models/,42,0.27,0.4,0.8,10,0.0005,29,0.15812917594654788,0.31625835189309576,0.0,0.6497367465504721,0.0
2,64,2,./data/,AlibabaLoan,32,0.005,SAGE,GNN,True,51,adam,0.4,./pytorch_models/,42,0.27,0.4,0.8,10,0.0005,30,0.16,0.32,0.0,0.6458333333333333,0.0
2,64,2,./data/,AlibabaLoan,64,0.005,SAGE,GNN,True,51,adam,0.4,./pytorch_models/,42,0.27,0.4,0.8,10,0.0005,31,0.15812917594654788,0.31625835189309576,0.0,0.6616739288307916,0.0
2,256,2,./data/,AlibabaLoan,32,0.001,SAGE,GNN,True,51,adam,0.4,./pytorch_models/,42,0.27,0.4,0.8,10,0.0001,32,0.16,0.32,0.0,0.6611292665214233,0.0
2,256,2,./data/,AlibabaLoan,64,0.001,SAGE,GNN,True,51,adam,0.4,./pytorch_models/,42,0.27,0.4,0.8,10,0.0001,33,0.16340228554896571,0.31390134529147984,0.012903225806451613,0.6557280319535223,0.07971445044215993
2,256,2,./data/,AlibabaLoan,32,0.002,SAGE,GNN,True,51,adam,0.4,./pytorch_models/,42,0.27,0.4,0.8,10,0.0001,34,0.16,0.32,0.0,0.6565450254175745,0.0
2,256,2,./data/,AlibabaLoan,64,0.002,SAGE,GNN,True,51,adam,0.4,./pytorch_models/,42,0.27,0.4,0.8,10,0.0001,35,0.18784447015370465,0.31890660592255127,0.056782334384858045,0.651461510530138,0.16909988539863077
2,256,2,./data/,AlibabaLoan,32,0.003,SAGE,GNN,True,51,adam,0.4,./pytorch_models/,42,0.27,0.4,0.8,10,0.0001,36,0.16,0.32,0.0,0.652596223674655,0.0
2,256,2,./data/,AlibabaLoan,64,0.003,SAGE,GNN,True,51,adam,0.4,./pytorch_models/,42,0.27,0.4,0.8,10,0.0001,37,0.1704781704781705,0.3153153153153153,0.02564102564102564,0.6492374727668845,0.11273325693242053
2,256,2,./data/,AlibabaLoan,32,0.005,SAGE,GNN,True,51,adam,0.4,./pytorch_models/,42,0.27,0.4,0.8,10,0.0001,38,0.16,0.32,0.0,0.6484204793028323,0.0
2,256,2,./data/,AlibabaLoan,64,0.005,SAGE,GNN,True,51,adam,0.4,./pytorch_models/,42,0.27,0.4,0.8,10,0.0001,39,0.15812917594654788,0.31625835189309576,0.0,0.6577705156136529,0.0
2,256,2,./data/,AlibabaLoan,32,0.001,SAGE,GNN,True,51,adam,0.4,./pytorch_models/,42,0.27,0.4,0.8,10,0.0002,40,0.16,0.32,0.0,0.6619462599854756,0.0
2,256,2,./data/,AlibabaLoan,64,0.001,SAGE,GNN,True,51,adam,0.4,./pytorch_models/,42,0.27,0.4,0.8,10,0.0002,41,0.15625,0.3125,0.0,0.6555464778503995,0.0
2,256,2,./data/,AlibabaLoan,32,0.002,SAGE,GNN,True,51,adam,0.4,./pytorch_models/,42,0.27,0.4,0.8,10,0.0002,42,0.16,0.32,0.0,0.6565450254175743,0.0
2,256,2,./data/,AlibabaLoan,64,0.002,SAGE,GNN,True,51,adam,0.4,./pytorch_models/,42,0.27,0.4,0.8,10,0.0002,43,0.18440736478711162,0.3181818181818182,0.05063291139240506,0.6518700072621642,0.15942890088431985
2,256,2,./data/,AlibabaLoan,32,0.003,SAGE,GNN,True,51,adam,0.4,./pytorch_models/,42,0.27,0.4,0.8,10,0.0002,44,0.16,0.32,0.0,0.6535947712418301,0.0
2,256,2,./data/,AlibabaLoan,64,0.003,SAGE,GNN,True,51,adam,0.4,./pytorch_models/,42,0.27,0.4,0.8,10,0.0002,45,0.16694967303732072,0.3146067415730337,0.01929260450160772,0.6503721859114016,0.09762986435483435
2,256,2,./data/,AlibabaLoan,32,0.005,SAGE,GNN,True,51,adam,0.4,./pytorch_models/,42,0.27,0.4,0.8,10,0.0002,46,0.16,0.32,0.0,0.6484658678286129,0.0
2,256,2,./data/,AlibabaLoan,64,0.005,SAGE,GNN,True,51,adam,0.4,./pytorch_models/,42,0.27,0.4,0.8,10,0.0002,47,0.15812917594654788,0.31625835189309576,0.0,0.6505083514887436,0.0
2,256,2,./data/,AlibabaLoan,32,0.001,SAGE,GNN,True,51,adam,0.4,./pytorch_models/,42,0.27,0.4,0.8,10,0.0003,48,0.16,0.32,0.0,0.6623093681917211,0.0
2,256,2,./data/,AlibabaLoan,64,0.001,SAGE,GNN,True,51,adam,0.4,./pytorch_models/,42,0.27,0.4,0.8,10,0.0003,49,0.15812917594654788,0.31625835189309576,0.0,0.6547748729121278,0.0
