alpha,batch_size,cuda_id,data_dir,data_name,emb_size,lr,model,multi_relation,no_cuda,num_epochs,optimizer,rho,save_dir,seed,test_ratio,thres,train_ratio,valid_epochs,weight_decay,Configuration,F1-Macro,F1-1,F1-0,AUC,G-Mean
2,1024,2,./data/,AlibabaLoan,64,0.001,GCN,GNN,True,51,adam,0.4,./pytorch_models/,42,0.27,0.4,0.8,10,0.0001,25,0.16,0.32,0.0,0.5622503631082062,0.0
2,1024,2,./data/,AlibabaLoan,32,0.001,GCN,GNN,True,51,adam,0.4,./pytorch_models/,42,0.27,0.5,0.8,10,0.0001,26,0.4473684210526316,0.0,0.8947368421052632,0.5299110384894699,0.0
2,1024,2,./data/,AlibabaLoan,64,0.001,GCN,GNN,True,51,adam,0.4,./pytorch_models/,42,0.27,0.5,0.8,10,0.0001,27,0.4473684210526316,0.0,0.8947368421052632,0.5622503631082062,0.0
2,1024,2,./data/,AlibabaLoan,32,0.002,GCN,GNN,True,51,adam,0.4,./pytorch_models/,42,0.27,0.4,0.8,10,0.0001,28,0.16,0.32,0.0,0.5315450254175744,0.0
2,1024,2,./data/,AlibabaLoan,64,0.002,GCN,GNN,True,51,adam,0.4,./pytorch_models/,42,0.27,0.4,0.8,10,0.0001,29,0.16,0.32,0.0,0.5766158315177923,0.0
2,1024,2,./data/,AlibabaLoan,32,0.002,GCN,GNN,True,51,adam,0.4,./pytorch_models/,42,0.27,0.5,0.8,10,0.0001,30,0.4473684210526316,0.0,0.8947368421052632,0.5315450254175744,0.0
2,1024,2,./data/,AlibabaLoan,64,0.002,GCN,GNN,True,51,adam,0.4,./pytorch_models/,42,0.27,0.5,0.8,10,0.0001,31,0.4473684210526316,0.0,0.8947368421052632,0.5766158315177923,0.0
2,1024,2,./data/,AlibabaLoan,32,0.005,GCN,GNN,True,51,adam,0.4,./pytorch_models/,42,0.27,0.4,0.8,10,0.0001,32,0.16,0.32,0.0,0.5377632534495279,0.0
2,1024,2,./data/,AlibabaLoan,64,0.005,GCN,GNN,True,51,adam,0.4,./pytorch_models/,42,0.27,0.4,0.8,10,0.0001,33,0.16,0.32,0.0,0.5659495279593318,0.0
2,1024,2,./data/,AlibabaLoan,32,0.005,GCN,GNN,True,51,adam,0.4,./pytorch_models/,42,0.27,0.5,0.8,10,0.0001,34,0.4473684210526316,0.0,0.8947368421052632,0.5377632534495279,0.0
2,1024,2,./data/,AlibabaLoan,64,0.005,GCN,GNN,True,51,adam,0.4,./pytorch_models/,42,0.27,0.5,0.8,10,0.0001,35,0.4473684210526316,0.0,0.8947368421052632,0.5659495279593318,0.0
2,1024,2,./data/,AlibabaLoan,32,0.001,GCN,GNN,True,51,adam,0.4,./pytorch_models/,42,0.27,0.4,0.8,10,0.0005,36,0.16,0.32,0.0,0.5296387073347858,0.0
2,1024,2,./data/,AlibabaLoan,64,0.001,GCN,GNN,True,51,adam,0.4,./pytorch_models/,42,0.27,0.4,0.8,10,0.0005,37,0.16,0.32,0.0,0.5630219680464779,0.0
2,1024,2,./data/,AlibabaLoan,32,0.001,GCN,GNN,True,51,adam,0.4,./pytorch_models/,42,0.27,0.5,0.8,10,0.0005,38,0.4473684210526316,0.0,0.8947368421052632,0.5296387073347858,0.0
2,1024,2,./data/,AlibabaLoan,64,0.001,GCN,GNN,True,51,adam,0.4,./pytorch_models/,42,0.27,0.5,0.8,10,0.0005,39,0.4473684210526316,0.0,0.8947368421052632,0.5630219680464779,0.0
2,1024,2,./data/,AlibabaLoan,32,0.002,GCN,GNN,True,51,adam,0.4,./pytorch_models/,42,0.27,0.4,0.8,10,0.0005,40,0.16,0.32,0.0,0.5322712418300654,0.0
2,1024,2,./data/,AlibabaLoan,64,0.002,GCN,GNN,True,51,adam,0.4,./pytorch_models/,42,0.27,0.4,0.8,10,0.0005,41,0.16,0.32,0.0,0.5763435003631082,0.0
2,1024,2,./data/,AlibabaLoan,32,0.002,GCN,GNN,True,51,adam,0.4,./pytorch_models/,42,0.27,0.5,0.8,10,0.0005,42,0.4473684210526316,0.0,0.8947368421052632,0.5322712418300654,0.0
2,1024,2,./data/,AlibabaLoan,64,0.002,GCN,GNN,True,51,adam,0.4,./pytorch_models/,42,0.27,0.5,0.8,10,0.0005,43,0.4473684210526316,0.0,0.8947368421052632,0.5763435003631082,0.0
2,1024,2,./data/,AlibabaLoan,32,0.005,GCN,GNN,True,51,adam,0.4,./pytorch_models/,42,0.27,0.4,0.8,10,0.0005,44,0.16,0.32,0.0,0.5283451343500363,0.0
2,1024,2,./data/,AlibabaLoan,64,0.005,GCN,GNN,True,51,adam,0.4,./pytorch_models/,42,0.27,0.4,0.8,10,0.0005,45,0.16,0.32,0.0,0.5642247639796659,0.0
2,1024,2,./data/,AlibabaLoan,32,0.005,GCN,GNN,True,51,adam,0.4,./pytorch_models/,42,0.27,0.5,0.8,10,0.0005,46,0.4473684210526316,0.0,0.8947368421052632,0.5283451343500363,0.0
2,1024,2,./data/,AlibabaLoan,64,0.005,GCN,GNN,True,51,adam,0.4,./pytorch_models/,42,0.27,0.5,0.8,10,0.0005,47,0.4473684210526316,0.0,0.8947368421052632,0.5642247639796659,0.0
2,256,2,./data/,AlibabaLoan,32,0.001,GCN,GNN,True,100,adam,0.4,./pytorch_models/,42,0.27,0.4,0.8,10,0.0001,48,0.16,0.32,0.0,0.5517429193899782,0.0
2,256,2,./data/,AlibabaLoan,64,0.001,GCN,GNN,True,100,adam,0.4,./pytorch_models/,42,0.27,0.4,0.8,10,0.0001,49,0.16,0.32,0.0,0.5680374001452432,0.0
2,256,2,./data/,AlibabaLoan,32,0.001,GCN,GNN,True,100,adam,0.4,./pytorch_models/,42,0.27,0.5,0.8,10,0.0001,50,0.4473684210526316,0.0,0.8947368421052632,0.5517429193899782,0.0
2,256,2,./data/,AlibabaLoan,64,0.001,GCN,GNN,True,100,adam,0.4,./pytorch_models/,42,0.27,0.5,0.8,10,0.0001,51,0.4473684210526316,0.0,0.8947368421052632,0.5680374001452432,0.0
2,256,2,./data/,AlibabaLoan,32,0.002,GCN,GNN,True,100,adam,0.4,./pytorch_models/,42,0.27,0.4,0.8,10,0.0001,52,0.16,0.32,0.0,0.5670842411038489,0.0
2,256,2,./data/,AlibabaLoan,64,0.002,GCN,GNN,True,100,adam,0.4,./pytorch_models/,42,0.27,0.4,0.8,10,0.0001,53,0.16,0.32,0.0,0.5673111837327524,0.0
